GENER01  1.00e+25  1.00e-06                                0.00  
VERTICES
 mj0 4                    
 la
 ez
 kc
 oa
 mk0 4                    
 kc
 ey
 ks
 oa
 ml0 4                    
 ks
 ei
 js
 oa
 mm0 4                    
 dn
 jr
 ob
 mu
 mn0 4                    
 jr
 ed
 na
 ob
 mo0 4                    
 na
 ec
 jl
 ob
 mp0 4                    
 jl
 dm
 mu
 ob
 mq0 3                    
 gc
 ly
 gs
 mr0 3                    
 ly
 gd
 gt
 ms0 3                    
 ly
 gt
 gs
 mt0 4                    
 bu
 mh
 oc
 kq
 mu0 4                    
 mh
 ck
 jp
 oc
 mv0 4                    
 jp
 cj
 ma
 oc
 mw0 4                    
 ma
 bt
 kq
 oc
 mx0 3                    
 ez
 la
 fa
 my0 3                    
 la
 ej
 ek
 mz0 3                    
 la
 ek
 fa
 na0 4                    
 do
 ka
 od
 mf
 nb0 4                    
 ka
 ee
 mo
 od
 nc0 4                    
 mo
 ed
 jr
 od
 nd0 4                    
 jr
 dn
 mf
 od
 ne0 3                    
 gd
 lj
 gt
 nf0 3                    
 lj
 ge
 gu
 ng0 3                    
 lj
 gu
 gt
 nh0 4                    
 bv
 mp
 oe
 jz
 ni0 4                    
 mp
 cl
 jd
 oe
 nj0 4                    
 jd
 ck
 mh
 oe
 nk0 4                    
 mh
 bu
 jz
 oe
 nl0 3                    
 fi
 mk
 fh
 nm0 3                    
 mk
 fy
 fx
 nn0 3                    
 mk
 fx
 fh
 no0 4                    
 dp
 ki
 of
 lv
 np0 4                    
 ki
 ef
 md
 of
 nq0 4                    
 md
 ee
 ka
 of
 nr0 4                    
 ka
 do
 lv
 of
 ns0 3                    
 ge
 kt
 gu
 nt0 3                    
 kt
 gf
 gv
 nu0 3                    
 kt
 gv
 gu
 nv0 4                    
 bw
 mw
 og
 jj
 nw0 4                    
 mw
 cm
 mm
 og
 nx0 4                    
 mm
 cl
 mp
 og
 ny0 4                    
 mp
 bv
 jj
 og
 nz0 4                    
 fj
 mt
 oh
 jc
 oa0 4                    
 mt
 fz
 ji
 oh
 ob0 4                    
 ji
 fy
 mk
 oh
 oc0 4                    
 mk
 fi
 jc
 oh
 od0 4                    
 dq
 kr
 oi
 lf
 oe0 4                    
 kr
 eg
 lp
 oi
 of0 4                    
 lp
 ef
 ki
 oi
 og0 4                    
 ki
 dp
 lf
 oi
 oh0 4                    
 bx
 nc
 oj
 jb
 oi0 4                    
 nc
 cn
 mq
 oj
 oj0 4                    
 mq
 cm
 mw
 oj
 ok0 4                    
 mw
 bw
 jb
 oj
 ol0 4                    
 fk
 mz
 ok
 nb
 om0 4                    
 mz
 ga
 ix
 ok
 on0 4                    
 ix
 fz
 mt
 ok
 oo0 4                    
 mt
 fj
 nb
 ok
 op0 3                    
 br
 mg
 bb
 oq0 3                    
 mg
 bq
 ba
 or0 3                    
 mg
 ba
 bb
 os0 4                    
 dr
 kz
 ol
 ko
